sample_index,pad_x_m,pad_y_m,pad_z_m,tibia_x_m,tibia_y_m,tibia_z_m,distance_to_silicone_surface_m,silicone_winding,classification,occupied_visual_indices,uncertain_visual_indices,aabb_hits,distance_lower_bound_to_other_cad_solids_m
874,0.1959804706275463,-0.002187499776482582,0.016246797516942024,-0.11165239520147427,0.16187107413151156,-0.016073145488217973,0.0025625028311733033,0.0,occupied,[2],[],1,0.0
883,0.19673887640237808,0.004187500104308128,0.008550990489311516,-0.10535539118747354,0.16635999596606976,-0.02244798429534026,0.0025625000707805157,8.834874115176436e-18,occupied,[2],[],1,0.0
885,0.19677414000034332,0.0010000001639127731,0.00851174769923091,-0.10533907431315519,0.1664102268140404,-0.01926048527424868,0.005750000011175871,-4.417437057588218e-17,occupied,[2],[],1,0.0
887,0.19680940359830856,-0.002187499776482582,0.008472504909150302,-0.10532275743883679,0.166460457662011,-0.016072986253157097,0.0025625000707805157,-3.533949646070574e-17,occupied,[2],[],1,0.0
922,0.19938881695270538,0.004187500104308128,0.01623669289983809,-0.11334017877816395,0.16483180308782241,-0.022448333399261288,0.0025625000707805157,-4.417437057588218e-18,occupied,[2],[],1,0.0
927,0.1994927041232586,0.0010000001639127731,0.0162377601955086,-0.11339298590635742,0.16492147972113413,-0.019260839232679045,0.005750000011175871,2.208718528794109e-17,occupied,[2],[],1,0.0
930,0.1995965912938118,-0.002187499776482582,0.01623882749117911,-0.11344579303455089,0.1650111563544458,-0.0160733450660968,0.0025625000707805157,8.834874115176436e-18,occupied,[2],[],1,0.0
945,0.2000758871436119,0.004187500104308128,0.005163751658983529,-0.10407912996109,0.17094040914107808,-0.022448079330446725,0.0025625000707805157,4.417437057588218e-18,occupied,[2],[],1,0.0
946,0.20011115074157715,0.0010000001639127731,0.005124508868902922,-0.10406281308677162,0.17099063998904873,-0.01926058030935514,0.005750000011175871,-6.184411880623505e-17,occupied,[2],[],1,0.0
948,0.2001464143395424,-0.002187499776482582,0.005085266078822315,-0.10404649621245322,0.17104087083701933,-0.016073081288263562,0.0025625000707805157,-1.3252311172764654e-16,occupied,[2],[],1,0.0
1015,0.20300493761897087,0.004187500104308128,0.016228722874075174,-0.11513357661124059,0.16797188531075666,-0.022448532977140116,0.0025625000707805157,-5.300924469105861e-17,occupied,[2],[],1,0.0
1017,0.20310882478952408,0.0010000001639127731,0.016229790169745684,-0.11518638373943406,0.16806156194406838,-0.019261038810557872,0.005750000011175871,-8.393130409417613e-17,occupied,[2],[],1,0.0
1019,0.20321271196007729,-0.002187499776482582,0.016230857465416193,-0.11523919086762753,0.16815123857738004,-0.01607354464397563,0.0025625000707805157,-1.0160105232452901e-16,occupied,[2],[],1,0.0
1025,0.20341289788484573,0.004187500104308128,0.001776512828655541,-0.10280286873470644,0.17552082231608643,-0.022448174365553186,0.0025625000707805157,-8.834874115176436e-18,occupied,[2],[],1,0.0
1026,0.20344816148281097,0.0010000001639127731,0.001737270038574934,-0.10278655186038806,0.17557105316405705,-0.019260675344461606,0.005750000011175871,3.533949646070574e-17,occupied,[2],[],1,0.0
1027,0.20348342508077621,-0.002187499776482582,0.001698027248494327,-0.10277023498606969,0.17562128401202767,-0.016073176323370027,0.0025625000707805157,-5.300924469105861e-17,occupied,[2],[],1,0.0
1051,0.2047160305082798,0.014750000089406967,0.007333550252951682,-0.10827050233218558,0.17388400044749142,-0.03301089288488833,0.00031834228033119835,0.0,empty,[],[],1,0.0
1052,0.20499934814870358,-0.012749999761581421,0.011594892712309957,-0.11210862822755512,0.17200912899053086,-0.005511021123790337,0.0015214925397769939,3.533949646070574e-17,empty,[],[],1,0.0
1053,0.20553603768348694,-0.012749999761581421,0.007402110146358609,-0.10873959301863091,0.17456198289480576,-0.00551094019838793,0.0003505025512268867,7.067899292141149e-17,empty,[],[],1,0.0
1054,0.20562675036489964,-0.012749999761581421,0.007467983174137771,-0.10884188393135028,0.174607858983211,-0.005510946947481403,0.0003951813783989889,1.7669748230352872e-16,empty,[],[],1,0.0
1056,0.20571746304631233,-0.012749999761581421,0.007533856201916933,-0.10894417484406964,0.17465373507161625,-0.005510953696574878,0.00043986020557108764,-7.067899292141149e-17,empty,[],[],1,0.0
1057,0.20580817572772503,-0.012749999761581421,0.007599729229696095,-0.109046465756789,0.17469961116002147,-0.005510960445668352,0.00047627669704274354,7.067899292141149e-17,empty,[],[],1,0.0
1059,0.20589888840913773,-0.012749999761581421,0.007665602257475257,-0.10914875666950836,0.17474548724842667,-0.005510967194761827,0.000511822287816241,1.0601848938211722e-16,empty,[],[],1,0.0
1060,0.20594890043139458,0.014750000089406967,0.013197566149756312,-0.11396991723416287,0.17203377872813133,-0.0330111156529613,0.0001504236331202877,-7.067899292141149e-17,empty,[],[],1,0.0
1062,0.20598960109055042,-0.012749999761581421,0.007731475285254419,-0.10925104758222774,0.1747913633368319,-0.0055109739438553,0.0005413896970614133,1.0601848938211722e-16,empty,[],[],1,0.0
1063,0.20608031377196312,-0.012749999761581421,0.007797348313033581,-0.1093533384949471,0.17483723942523713,-0.005510980692948773,0.0005675346499480784,0.0,empty,[],[],1,0.0
1072,0.20628688298165798,-0.012749999761581421,0.007826281245797873,-0.10948127271573971,0.17500198403969916,-0.005510992868803662,0.0005028260862915669,1.4135798584282297e-16,empty,[],[],1,0.0
1080,0.20649345219135284,-0.012749999761581421,0.007855214178562164,-0.10960920693653232,0.1751667286541612,-0.0055110050446585505,0.00042473242576565893,-3.533949646070574e-17,empty,[],[],1,0.0
1084,0.20662105828523636,0.004187500104308128,0.01622075284831226,-0.11692697444431722,0.17111196753369093,-0.022448732555018943,0.0025625000707805157,3.754821498949985e-17,occupied,[2],[],1,0.0
1085,0.2067000214010477,-0.012749999761581421,0.007884147111326456,-0.10973714115732491,0.17533147326862322,-0.005511017220513439,0.0003350401406634979,3.533949646070574e-17,empty,[],[],1,0.0
1087,0.20672494545578957,0.0010000001639127731,0.016221820143982768,-0.1169797815725107,0.17120164416700265,-0.0192612383884367,0.005750000011175871,-2.4295903816735198e-17,occupied,[2],[],1,0.0
1088,0.2067851722240448,0.0010000001639127731,-0.0016499687917530537,-0.1015102906340045,0.1801514663390654,-0.019260770379568068,0.005750000011175871,-2.208718528794109e-17,occupied,[2],[],1,0.0
1090,0.20682043582201004,-0.002187499776482582,-0.0016892115818336606,-0.10149397375968612,0.18020169718703602,-0.016073271358476488,0.0025625000707805157,-7.50964299789997e-17,occupied,[2],[],1,0.0
1091,0.20682883262634277,-0.002187499776482582,0.016222887439653277,-0.11703258870070415,0.1712913208003143,-0.016073744221854456,0.0025625000707805157,-2.6504622345529306e-17,occupied,[2],[],1,0.0
1095,0.2068618033081293,0.004187500104308128,-0.0017110133776441216,-0.10149533986588248,0.18024820593769544,-0.022448272937861072,0.0025625000707805157,-2.9155084580082237e-16,occupied,[2],[],1,0.0
